"Hostname","Site","Routing domain","Switching Domain","Serial Number","Login IP","Management Protocol","Uptime","Reload Reason","Memory %","Vendor","Family","Platform","Model","Configuration Register","Version","Processor","Type","API Slug"
"dc1-f5-xrs-int-02.mgmt.omnitracs.com","ot,dc01","","","42277bb2-34ea-8b4a-771d9dc13873","192.168.13.6","ssh","10 months, 2 weeks, 2 days, 10 hours, 18 minutes","","7.63","f5","big-ip","virtual edition","","","16.1.3","","lb",""
"dc1-pem-api-02.mgmt.omnitracs.com","ot,dc01","","","42274ed2-3e1c-465b-503831bc32de","192.168.13.103","ssh","3 years, 3 months, 6 days, 11 hours, 13 minutes","","12.61","f5","big-ip","virtual edition","","","15.1.3","","lb",""
"na-oec-02-internal-prod-02.mgmt.omnitracs.com","ot,dc02","","","4203b52b-c5b0-ff0d-406bb37ef436","192.168.52.182","ssh","2 years, 2 months, 2 weeks, 6 days, 23 hours, 14 minutes","","8.94","f5","big-ip","virtual edition","","","16.1.3","","lb",""
"dc1-sag-intp-01.mgmt.omnitracs.com","ot,dc01","","","42273e46-7b94-6dd3-cfff4f0e28bb","192.168.13.48","ssh","1 year, 8 months, 1 week, 6 days, 14 hours, 7 minutes","","4.49","f5","big-ip","virtual edition","","","16.1.3","","lb",""
"ip-10-32-0-115.monitor.smartdrivesystems.com","aws,ie","","","ea9220ec-b050-456a-b9b9ad37bd58","34.241.100.251","ssh","1 year, 4 days, 13 hours, 31 minutes","","1.35","f5","big-ip","virtual edition","","","17.1.1.1","","lb",""
"audc10-fab1-lb-002.network.axadmin.net","au,dc10","","","42326d7e-a444-4ef3-0f16789c5ad4","10.119.35.51","ssh","2 months, 4 weeks, 5 hours, 17 minutes","","6.01","f5","big-ip","virtual edition","","","16.1.2.2","","lb",""
"audc10-fab1-lb-001.network.axadmin.net","au,dc10","","","42325319-30d9-ebe3-935982dc4e00","10.119.35.50","ssh","2 months, 4 weeks, 4 hours, 43 minutes","","6.18","f5","big-ip","virtual edition","","","16.1.2.2","","lb",""
"bedc01-fab1-lb-002.network.axadmin.net","be,dc01","","","4234e0c2-5f05-448e-72cdea2b94c6","10.119.34.9","ssh","3 weeks, 4 days, 6 hours, 58 minutes","","9.97","f5","big-ip","virtual edition","","","16.1.2.2","","lb",""
"bedc01-fab1-lb-001.network.axadmin.net","be,dc01","","","42346e74-4659-3f35-26c84827be1f","10.119.34.8","ssh","3 weeks, 4 days, 6 hours, 26 minutes","","9.69","f5","big-ip","virtual edition","","","16.1.2.2","","lb",""
"eudc01-lb-002-vcmp.network.axadmin.net","eu,dc01","","","f5-ukaq-paxm","10.119.16.76","ssh","3 years, 1 month, 2 weeks, 6 days, 20 hours, 55 minutes","","23.2","f5","big-ip","i10800","i10800","","14.1.4.1","","lb",""
"eudc01-lb-001-vcmp.network.axadmin.net","eu,dc01","","","f5-kceu-zpza","10.119.16.75","ssh","3 years, 1 month, 2 weeks, 6 days, 21 hours, 55 minutes","","23.21","f5","big-ip","i10800","i10800","","14.1.4.4","","lb",""
"eudc02-lb-001-vcmp.network.axadmin.net","eu,dc02","","","f5-fgyb-fabl","10.119.24.75","ssh","3 years, 1 month, 3 weeks, 5 days, 18 hours, 21 minutes","","23.18","f5","big-ip","i10800","i10800","","14.1.4.4","","lb",""
"eudc02-lb-002-vcmp.network.axadmin.net","eu,dc02","","","f5-tnmm-myio","10.119.24.76","ssh","3 years, 1 month, 3 weeks, 5 days, 15 hours, 26 minutes","","23.19","f5","big-ip","i10800","i10800","","14.1.4.4","","lb",""
"axrudc10lb150.network.axadmin.net","ru,dc10","","","f5-qzjb-beil","172.20.188.52","ssh","3 years, 10 months, 6 days, 13 hours, 26 minutes","","2.21","f5","big-ip","i2600","i2600","","12.1.5.3","","lb",""
"axrudc10lb151.network.axadmin.net","ru,dc10","","","f5-csqq-nowg","172.20.188.53","ssh","3 years, 10 months, 6 days, 13 hours, 38 minutes","","2.2","f5","big-ip","i2600","i2600","","12.1.5.3","","lb",""
"rudc10-lb-002.network.axadmin.net","ru,dc10","","","4230763e-5159-1fba-b97f21b3310a","10.119.36.51","ssh","9 months, 1 week, 3 days, 6 hours, 42 minutes","","4.81","f5","big-ip","virtual edition","","","17.1.0.1","","lb",""
"rudc10-lb-001.network.axadmin.net","ru,dc10","","","42308d49-6477-3361-bf9049d225af","10.119.36.50","ssh","7 months, 2 weeks, 1 day, 16 hours, 38 minutes","","5.32","f5","big-ip","virtual edition","","","17.1.0.1","","lb",""
"sgdc10-fab1-lb-001.network.axadmin.net","sg,dc10","","","421725aa-be90-064b-c4c56c8351d9","10.119.37.50","ssh","7 months, 3 weeks, 1 day, 23 hours, 11 minutes","","4.25","f5","big-ip","virtual edition","","","17.0.0.2","","lb",""
"sgdc10-fab1-lb-002.network.axadmin.net","sg,dc10","","","42177973-7f3f-c66e-e4803eac07a7","10.119.37.51","ssh","7 months, 3 weeks, 1 day, 23 hours, 4 minutes","","4.24","f5","big-ip","virtual edition","","","17.0.0.2","","lb",""
"usdc01-fab1-lb-006.network.axadmin.net","us,dc01","","","4214b382-acbd-2b1a-d28338e1f277","10.132.3.252","ssh","6 months, 1 week, 2 hours, 39 minutes","","16.31","f5","big-ip","virtual edition","","","16.1.2.2","","lb",""
"usdc01-fab1-lb-002.network.axadmin.net","us,dc01","","","f5-qshb-ojfm","10.119.0.76","ssh","2 weeks, 6 days, 10 hours, 6 minutes","","23.92","f5","big-ip","i10800","i10800","","14.1.4.1","","lb",""
"usdc01-fab1-lb-004.network.axadmin.net","us,dc01","","","f5-qdzo-ftfz","10.119.0.78","ssh","1 year, 3 months, 3 days, 11 hours, 24 minutes","","3.9","f5","big-ip","i4800","i4800","","16.1.2.2","","lb",""
"usdc01-fab1-lb-001.network.axadmin.net","us,dc01","","","f5-barm-ecti","10.119.0.75","ssh","2 years, 6 months, 2 weeks, 4 days, 5 hours, 14 minutes","","23.93","f5","big-ip","i10800","i10800","","14.1.4.1","","lb",""
"usdc01-fab1-lb-003.network.axadmin.net","us,dc01","","","f5-eycy-jtev","10.119.0.77","ssh","1 year, 3 months, 3 days, 6 hours, 22 minutes","","6.65","f5","big-ip","i4800","i4800","","16.1.2.2","","lb",""
"usdc01-fab1-lb-005.network.axadmin.net","us,dc01","","","4214f225-8733-3f03-34f0c4afeb6e","10.132.3.253","ssh","6 months, 6 days, 19 hours, 46 minutes","","16.69","f5","big-ip","virtual edition","","","16.1.2.2","","lb",""
"usdc02-fab1-lb-001.network.axadmin.net","us,dc02","","","f5-vgtg-evgk","10.119.8.75","ssh","6 days, 8 hours, 31 minutes","","24.39","f5","big-ip","i10800","i10800","","17.1.1.4","","lb",""
"usdc02-fab1-lb-002.network.axadmin.net","us,dc02","","","f5-wefw-qqju","10.119.8.76","ssh","6 days, 9 hours, 51 minutes","","24.39","f5","big-ip","i10800","i10800","","17.1.1.4","","lb",""
